"Year","Team","Runs","OppRuns","AtBat","Hits","Doubles","Triples","HomeRuns","RBI","SacHits","SacFlies","HitByPitch","Walks","Intentional","StrikeOuts","Stolen","Caught","GroundDP","CatchInter","LOB","NumPitchers","IndivER","TeamER","Wild","Balks","PutOut","Assists","Errors","PassBalls","DBPLays","TriPlays","OppAtBat","OppHits","OppDoubles","OppTriples","OppHomeRuns","OppRBI","OppSacHits","OppSacFlies","OppHitByPitch","OppWalks","OppIntentional","OppStrikeOuts","OppStolen","OppCaught","OppGroundDP","OppCatchInter","OppLOB","OppNumPitchers","OppIndivER","OppTeamER","OppWild","OppBalks","OppPutOut","OppAssists","OppErrors","OppPassBalls","OppDBPLays","OppTriPlays","Attendance","Wins","Losses"
"1902","SLN",517,695,4748,1226,116,37,10,402,108,-140,54,270,-140,266,158,-140,-140,0,938,169,474,0,22,0,3678,1939,336,16,109,0,4858,1399,171,68,16,578,153,-140,38,343,-140,228,188,-140,-140,0,1015,158,356,0,20,1,3719,1885,299,24,104,0,263678,58,82
"1902","WS1",707,790,4734,1338,261,66,47,607,89,-138,55,333,-138,148,121,-138,-138,0,858,146,585,0,23,2,3622,1827,316,22,74,0,4877,1403,211,91,56,673,121,-138,46,307,-138,107,173,-138,-138,0,949,164,550,0,31,2,3645,1908,243,29,128,0,200656,63,75
"1903","BOS",708,504,4919,1336,222,113,48,612,135,-141,38,259,-141,421,141,-141,-141,0,931,159,357,0,18,1,3765,1832,239,26,88,1,4691,1142,167,95,23,429,93,-141,35,269,-141,490,123,-141,-141,0,814,159,496,0,25,0,3700,1703,312,25,86,0,NA,93,48
"1903","BRO",667,682,4532,1201,177,56,15,467,118,-139,56,531,-139,375,272,-139,-139,0,960,162,-139,0,35,1,3639,1825,286,8,97,0,4649,1270,183,65,18,471,145,-139,66,378,-139,304,268,-139,-139,0,924,161,-139,0,29,2,3617,1810,287,21,82,1,NA,73,66
"1903","BSN",578,699,4690,1145,175,47,25,335,101,-140,61,404,-140,380,159,-140,-140,0,958,155,-140,0,39,0,3678,1843,359,32,85,0,4745,1305,200,56,30,385,112,-140,53,456,-140,372,207,-140,-140,0,994,158,-140,0,31,1,3719,1775,302,21,100,0,NA,58,82
"1903","CHA",516,613,4673,1152,176,49,14,436,136,-138,39,331,-138,532,180,-138,-138,0,924,164,414,0,20,1,3705,1850,297,30,90,0,4759,1233,209,76,23,521,164,-138,54,285,-138,387,131,-138,-138,0,938,160,367,0,19,2,3734,1880,264,13,89,0,299151,60,78
"1903","CHN",695,599,4738,1301,191,62,9,369,121,-139,51,441,-139,400,261,-139,-139,0,995,163,-139,0,24,0,3710,1779,338,9,81,0,4722,1182,169,61,14,314,130,-139,35,353,-139,407,160,-139,-139,0,928,165,-139,0,45,0,3659,1828,340,27,84,0,379940,83,56
"1903","CIN",765,656,4849,1400,228,92,28,456,88,-141,30,416,-141,339,151,-141,-141,0,952,157,-141,0,24,1,3687,1801,312,30,85,2,4756,1290,167,90,14,392,125,-141,65,378,-141,395,164,-141,-141,0,978,171,-141,0,33,1,3671,1864,313,21,109,0,376204,76,65
"1903","CLE",639,579,4776,1265,231,95,31,551,155,-140,47,257,-140,418,175,-140,-140,0,903,155,367,0,26,0,3730,1911,322,24,99,0,4745,1161,184,60,16,450,145,-140,37,277,-140,381,135,-140,-140,0,892,166,462,0,24,0,3689,1669,266,14,59,0,341039,77,63
"1903","DET",567,539,4588,1229,162,91,12,475,168,-137,49,290,-137,400,131,-137,-137,0,930,152,366,0,21,0,3586,1714,281,19,81,0,4577,1169,155,45,19,437,139,-137,30,337,-137,452,190,-137,-137,0,951,160,397,0,19,0,3593,1854,280,28,92,0,247378,66,71
"1903","NY1",729,567,4737,1289,181,49,20,507,187,-142,90,388,-142,411,264,-142,-142,0,934,171,-142,0,32,1,3788,1740,285,15,90,1,4872,1258,187,64,20,438,88,-142,37,375,-142,540,166,-142,-142,0,1015,159,-142,0,32,4,3745,1933,354,15,81,1,595485,85,57
"1903","NYA",579,573,4562,1136,193,62,18,474,141,-136,72,330,-136,423,161,-136,-136,0,940,162,411,0,18,1,3602,1785,264,21,92,1,4612,1171,203,92,19,502,129,-136,40,245,-136,424,136,-136,-136,0,846,155,389,0,16,1,3580,1781,326,23,81,0,213918,74,62
"1903","PHA",597,519,4672,1236,228,68,32,502,100,-137,33,272,-137,393,157,-137,-137,0,861,165,399,0,34,2,3621,1613,217,20,70,0,4536,1124,194,73,20,454,115,-137,74,315,-137,527,139,-137,-137,0,891,157,428,0,34,0,3616,1718,261,19,97,2,409897,75,62
"1903","PHI",617,738,4779,1282,186,62,12,360,157,-139,39,346,-139,363,120,-139,-139,0,1006,152,-139,0,38,1,3618,1764,300,20,70,0,4729,1346,225,63,21,472,105,-139,61,429,-139,297,235,-139,-139,0,967,161,-139,0,18,0,3694,1857,325,17,96,0,NA,50,89
"1903","PIT",793,613,4990,1429,208,110,34,549,111,-141,51,375,-141,332,172,-141,-141,0,1045,167,-141,0,29,1,3753,1936,293,23,102,0,4771,1209,172,48,9,392,124,-141,43,383,-141,387,155,-141,-141,0,954,158,-141,0,40,0,3686,1750,338,16,81,0,298083,92,49
"1903","SLA",500,525,4631,1133,166,68,12,408,125,-139,31,274,-139,267,101,-139,-139,0,873,155,376,0,20,0,3662,1828,268,12,97,1,4731,1220,214,68,26,442,135,-139,38,234,-139,202,124,-139,-139,0,943,152,340,0,24,1,3683,1857,224,19,88,1,327000,65,74
"1903","SLN",505,795,4678,1175,138,65,8,172,99,-139,34,279,-139,289,171,-139,-139,0,861,168,-139,0,34,3,3640,1956,354,19,110,0,4749,1362,181,96,25,351,153,-139,52,428,-139,187,215,-139,-139,0,951,162,-139,0,27,0,3722,1827,268,18,87,1,232386,43,96
"1903","WS1",437,691,4615,1066,172,72,17,372,95,-140,40,256,-140,255,131,-140,-140,0,816,158,519,0,20,0,3668,1772,260,12,89,0,4785,1333,224,109,38,595,135,-140,41,307,-140,246,199,-140,-140,0,903,161,330,0,16,1,3744,1843,215,23,114,0,125241,44,96
"1904","BOS",608,466,5241,1295,194,105,26,522,159,-157,53,344,-157,380,101,-157,-157,0,1026,166,331,0,22,1,4217,1987,242,19,86,0,5203,1208,166,95,31,399,134,-157,28,233,-157,379,118,-157,-157,0,920,186,465,0,39,2,4162,1982,275,13,111,0,NA,96,61
"1904","BRO",497,614,4916,1141,159,53,15,363,129,-154,44,419,-154,625,205,-154,-154,0,940,174,-154,0,28,3,4001,1922,343,13,98,0,4981,1281,153,71,27,446,159,-154,57,413,-154,383,194,-154,-154,0,1004,169,-154,0,31,1,4070,2053,248,21,102,0,NA,56,98
"1904","BSN",491,749,5133,1218,153,50,24,269,103,-155,40,332,-155,462,143,-155,-155,0,1022,175,-155,0,50,4,4031,2085,353,27,112,0,5130,1400,164,66,25,415,155,-155,54,492,-155,453,230,-155,-155,0,1055,172,-155,0,26,6,4098,2028,303,20,97,0,159571,57,98
"1904","CHA",600,482,5029,1217,193,68,14,519,198,-156,44,376,-156,544,216,-156,-156,0,947,178,353,0,36,2,4136,2163,238,20,98,0,5099,1162,179,82,13,417,119,-156,47,303,-156,519,111,-156,-156,0,948,175,427,0,31,3,4101,2100,283,15,76,0,611136,90,66
"1904","CHN",597,517,5212,1294,157,62,22,337,142,-156,48,334,-156,417,227,-156,-156,0,1036,173,-156,0,24,6,4142,2027,299,25,99,0,5100,1150,148,58,16,339,97,-156,37,409,-156,568,158,-156,-156,0,983,170,-156,0,32,7,4103,2034,350,24,99,1,473600,94,62
"1904","CIN",695,547,5233,1333,189,92,21,454,135,-157,52,445,-157,470,179,-157,-157,0,1052,172,-157,0,33,4,4161,2026,301,27,105,0,5162,1264,152,88,13,351,138,-157,52,322,-157,442,195,-157,-157,0,991,185,-157,0,39,7,4124,2015,346,15,114,0,442629,89,68
"1904","CLE",647,482,5158,1340,225,90,27,553,159,-154,49,307,-154,242,178,-154,-154,0,994,169,335,0,39,1,4066,1970,255,14,91,0,5148,1273,170,43,10,410,135,-154,36,289,-154,184,125,-154,-154,0,1063,171,463,0,42,1,4036,1971,274,17,56,0,291877,86,68
"1904","DET",505,627,5325,1231,154,69,11,430,167,-162,36,341,-162,320,112,-162,-162,0,1044,183,440,0,37,1,4288,2177,273,21,96,0,5334,1345,171,65,16,539,174,-162,69,434,-162,280,184,-162,-162,0,1098,188,356,0,24,1,4326,2125,266,13,79,0,192856,67,95
"1904","NY1",744,474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,49
"1904","NYA",598,526,5224,1354,195,91,27,499,134,-155,60,315,-155,523,163,-155,-155,0,1028,188,394,0,40,0,4141,2104,275,17,91,0,5098,1180,170,102,29,446,135,-155,41,312,-155,651,159,-155,-155,0,921,177,418,0,36,0,4107,2127,287,29,99,0,473631,96,59
"1904","PHA",557,503,5098,1266,197,77,31,486,125,-155,42,317,-155,163,137,-155,-155,0,972,175,355,0,23,2,4081,1835,250,21,71,0,5063,1149,185,66,13,413,127,-155,64,369,-155,301,143,-155,-155,0,1037,166,421,0,33,0,4053,1947,239,17,84,0,597392,84,71
"1904","PHI",571,784,5101,1268,170,54,23,332,121,-155,41,396,-155,445,159,-155,-155,0,1014,180,-155,0,32,8,4001,1994,405,18,113,0,5201,1436,232,67,22,437,123,-155,70,422,-155,422,244,-155,-155,0,1038,182,-155,0,30,0,4083,2105,279,13,117,0,144309,53,102
"1904","PIT",675,592,5156,1333,164,102,15,413,127,-156,46,394,-156,459,179,-156,-156,0,1072,181,-156,0,30,4,4041,2073,291,19,107,1,5084,1274,192,56,13,336,136,-156,54,370,-156,424,186,-156,-156,0,1019,172,-156,0,35,5,4002,1943,354,15,98,0,365341,90,66
"1904","SLA",481,604,5292,1266,153,53,10,406,127,-156,60,331,-156,170,150,-156,-156,0,1067,178,443,0,25,0,4226,2180,267,19,78,0,5291,1335,204,73,25,524,173,-156,62,333,-156,116,164,-156,-156,0,1034,170,352,0,28,1,4263,2157,232,21,100,0,405776,66,90
"1904","SLN",602,595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,433680,75,80
"1904","WS1",437,743,5153,1170,171,57,10,348,122,-157,63,285,-157,222,150,-157,-157,0,1007,177,547,0,38,2,4077,2049,314,13,98,0,5284,1487,237,84,19,615,194,-157,60,343,-157,134,203,-157,-157,0,1064,181,296,0,27,1,4184,2056,258,19,104,0,157932,41,116
"1905","BOS",579,565,5040,1175,169,68,29,406,146,-153,38,477,-153,298,133,-153,-153,0,1060,183,-153,0,22,2,4073,1932,297,26,72,0,5052,1191,216,71,33,421,179,-153,41,277,-153,321,136,-153,-153,0,913,192,-153,0,35,3,4066,1939,262,25,96,0,479306,78,75
"1905","BRO",506,807,5102,1255,154,60,29,392,137,-155,42,319,-155,517,186,-155,-155,0,977,188,-155,0,19,3,4031,2013,408,21,106,0,5162,1415,197,89,24,593,186,-155,66,483,-155,457,253,-155,-155,0,1059,189,-155,0,30,1,4129,2162,244,15,86,1,226874,50,105
"1905","BSN",468,733,5193,1215,148,52,17,316,91,-156,54,323,-156,397,132,-156,-156,0,971,174,-156,0,43,4,4137,2146,326,42,83,1,5248,1397,165,75,36,484,136,-156,46,420,-156,343,279,-156,-156,0,998,185,-156,0,29,3,4221,2098,263,25,117,2,154959,52,104
"1905","CHA",612,451,5118,1214,201,58,11,435,240,-158,60,435,-158,549,196,-158,-158,1,1010,190,-158,0,36,0,4281,2233,220,19,97,0,5195,1171,205,54,11,354,143,-158,31,341,-158,545,129,-158,-158,0,975,188,-158,0,32,4,4234,2083,303,24,82,0,696192,95,63
"1905","CHN",667,442,5109,1249,157,82,12,435,194,-155,60,448,-155,487,267,-155,-155,0,1008,177,-155,0,21,2,4207,2021,248,24,90,1,5067,1132,132,55,14,301,138,-155,52,382,-155,594,170,-155,-155,0,996,187,-155,0,38,1,4141,2050,361,23,82,0,521400,92,63
"1905","CIN",736,698,5204,1401,160,101,27,473,175,-155,54,434,-155,408,181,-155,-155,0,1066,194,-155,0,32,3,4090,2151,310,35,104,3,5196,1408,126,108,22,418,160,-155,54,431,-155,429,202,-155,-155,0,1061,186,-155,0,30,3,4075,2047,317,24,86,4,315347,80,75
"1905","CLE",564,587,5187,1319,214,73,18,220,152,-155,55,293,-155,489,190,-155,-155,0,1024,170,-155,0,32,1,4103,2072,237,24,86,0,5104,1252,214,51,23,322,172,-155,60,324,-155,349,165,-155,-155,0,997,187,-155,0,38,1,4107,1893,283,19,60,0,318959,77,78
"1905","DET",512,604,4973,1210,196,58,13,420,192,-154,40,359,-154,253,130,-154,-154,0,1023,185,-154,0,18,1,4043,1874,266,19,84,0,4993,1232,167,61,11,244,181,-154,47,462,-154,229,226,-154,-154,0,1068,184,-154,0,34,1,4043,1983,257,12,80,0,194684,79,75
"1905","NY1",780,505,5100,1392,191,88,39,624,138,-155,89,521,-155,469,291,-155,-155,0,1032,197,-155,0,58,4,4108,2054,259,24,89,1,5072,1156,152,52,25,397,126,-155,32,359,-155,732,122,-155,-155,0,976,194,-155,0,37,7,4036,2060,295,32,110,0,NA,107,48
"1905","NYA",586,621,4975,1233,168,62,23,464,162,-152,67,362,-152,501,196,-152,-152,0,954,228,-152,0,46,1,4035,1880,298,23,96,0,5065,1248,153,85,26,506,153,-152,44,401,-152,620,139,-152,-152,0,1006,184,-152,0,19,1,4028,2047,275,25,81,1,371000,74,78
"1905","PHA",623,488,5141,1306,253,51,24,449,168,-152,35,371,-152,463,189,-152,-152,0,1011,189,-152,0,34,4,4133,1744,266,21,67,0,5093,1147,184,40,21,377,154,-152,63,403,-152,672,145,-152,-152,0,1089,188,-152,0,32,0,4091,1985,273,19,86,0,624639,95,57
"1905","PHI",708,603,5243,1362,187,82,16,512,175,-155,44,395,-155,552,180,-155,-155,0,1016,197,-155,0,28,3,4164,1929,275,12,102,0,5168,1303,181,68,21,448,129,-155,69,417,-155,441,172,-155,-155,0,1014,187,-155,0,32,5,4137,2095,327,26,94,0,315937,85,70
"1905","PIT",692,570,5210,1384,190,91,22,461,160,-155,38,403,-155,404,202,-155,-155,0,1051,202,-155,0,36,3,4130,2090,253,23,101,1,5123,1270,187,102,12,411,133,-155,56,377,-155,383,163,-155,-155,0,1001,198,-155,0,36,2,4078,1912,312,30,83,1,375209,96,59
