"GameDate","Attendance","GameCode","GameDay","VisitTeam","VisitLeague","HomeTeam","HomeLeague","HomeGameNum","VisitScore","HomeScore","DayNight","GameMinutes","GameYear","GameMonth","Winner","WinTeam"
1962-05-09,10930,0,"Wed","CLE","AL","MIN","AL",26,1,2,"N",162,"1962","05","HOME","MIN"
1962-05-10,5182,0,"Thu","CLE","AL","MIN","AL",27,9,4,"D",164,"1962","05","VISIT","CLE"
1962-05-11,4578,0,"Fri","KC1","AL","MIN","AL",28,5,3,"N",152,"1962","05","VISIT","KC1"
1962-05-12,9129,0,"Sat","KC1","AL","MIN","AL",29,4,5,"D",148,"1962","05","HOME","MIN"
1962-05-13,10130,0,"Sun","KC1","AL","MIN","AL",30,3,10,"D",180,"1962","05","HOME","MIN"
1962-05-28,17927,0,"Mon","BOS","AL","MIN","AL",45,3,0,"N",153,"1962","05","VISIT","BOS"
1962-05-29,6284,0,"Tue","BOS","AL","MIN","AL",46,8,5,"D",180,"1962","05","VISIT","BOS"
1962-05-30,39720,1,"Wed","NYA","AL","MIN","AL",47,10,1,"D",161,"1962","05","VISIT","NYA"
1962-05-30,35635,2,"Wed","NYA","AL","MIN","AL",48,4,5,"N",191,"1962","05","HOME","MIN"
1962-06-01,6430,0,"Fri","WS2","AL","MIN","AL",49,4,3,"N",233,"1962","06","VISIT","WS2"
1962-06-02,8627,0,"Sat","WS2","AL","MIN","AL",50,2,9,"D",161,"1962","06","HOME","MIN"
1962-06-03,12996,0,"Sun","WS2","AL","MIN","AL",51,5,7,"D",171,"1962","06","HOME","MIN"
1962-06-05,15297,0,"Tue","KC1","AL","MIN","AL",52,4,3,"N",178,"1962","06","VISIT","KC1"
1962-06-06,11619,0,"Wed","KC1","AL","MIN","AL",53,0,7,"N",137,"1962","06","HOME","MIN"
1962-06-07,6163,0,"Thu","KC1","AL","MIN","AL",54,2,5,"D",133,"1962","06","HOME","MIN"
1962-06-08,21962,0,"Fri","CHA","AL","MIN","AL",55,1,2,"N",159,"1962","06","HOME","MIN"
1962-06-09,18126,0,"Sat","CHA","AL","MIN","AL",56,8,5,"D",202,"1962","06","VISIT","CHA"
1962-06-10,0,1,"Sun","CHA","AL","MIN","AL",57,4,8,"D",132,"1962","06","HOME","MIN"
1962-06-10,33049,2,"Sun","CHA","AL","MIN","AL",58,7,11,"D",176,"1962","06","HOME","MIN"
1962-06-22,0,1,"Fri","LAA","AL","MIN","AL",69,2,3,"D",133,"1962","06","HOME","MIN"
1962-06-22,30696,2,"Fri","LAA","AL","MIN","AL",70,3,8,"N",151,"1962","06","HOME","MIN"
1962-06-23,18993,0,"Sat","LAA","AL","MIN","AL",71,0,5,"D",116,"1962","06","HOME","MIN"
1962-06-24,0,1,"Sun","LAA","AL","MIN","AL",72,3,2,"D",184,"1962","06","VISIT","LAA"
1962-06-24,35451,2,"Sun","LAA","AL","MIN","AL",73,7,6,"D",201,"1962","06","VISIT","LAA"
1962-07-06,40944,0,"Fri","NYA","AL","MIN","AL",84,7,5,"N",170,"1962","07","VISIT","NYA"
1962-07-07,39665,0,"Sat","NYA","AL","MIN","AL",85,6,3,"D",163,"1962","07","VISIT","NYA"
1962-07-08,40347,0,"Sun","NYA","AL","MIN","AL",86,9,8,"D",164,"1962","07","VISIT","NYA"
1962-07-12,11896,0,"Thu","WS2","AL","MIN","AL",87,7,4,"N",153,"1962","07","VISIT","WS2"
1962-07-13,12175,0,"Fri","WS2","AL","MIN","AL",88,0,4,"N",141,"1962","07","HOME","MIN"
1962-07-14,10468,0,"Sat","WS2","AL","MIN","AL",89,4,3,"D",132,"1962","07","VISIT","WS2"
1962-07-15,20450,0,"Sun","BOS","AL","MIN","AL",90,3,5,"D",153,"1962","07","HOME","MIN"
1962-07-17,33500,0,"Tue","CLE","AL","MIN","AL",91,2,7,"N",139,"1962","07","HOME","MIN"
1962-07-18,15829,0,"Wed","CLE","AL","MIN","AL",92,3,14,"D",138,"1962","07","HOME","MIN"
1962-07-19,11787,0,"Thu","CLE","AL","MIN","AL",93,0,8,"D",118,"1962","07","HOME","MIN"
1962-07-20,18992,0,"Fri","BAL","AL","MIN","AL",94,5,7,"N",176,"1962","07","HOME","MIN"
1962-07-21,19669,0,"Sat","BAL","AL","MIN","AL",95,6,7,"D",181,"1962","07","HOME","MIN"
1962-07-22,30031,0,"Sun","BAL","AL","MIN","AL",96,8,6,"D",176,"1962","07","VISIT","BAL"
1962-07-23,25220,0,"Mon","DET","AL","MIN","AL",97,1,8,"N",157,"1962","07","HOME","MIN"
1962-07-24,33242,0,"Tue","DET","AL","MIN","AL",98,4,3,"N",189,"1962","07","VISIT","DET"
1962-07-25,29992,0,"Wed","DET","AL","MIN","AL",99,6,7,"N",194,"1962","07","HOME","MIN"
1962-08-13,44366,0,"Mon","NYA","AL","MIN","AL",118,4,6,"N",195,"1962","08","HOME","MIN"
1962-08-14,41207,0,"Tue","NYA","AL","MIN","AL",119,5,2,"N",148,"1962","08","VISIT","NYA"
1962-08-15,41536,0,"Wed","NYA","AL","MIN","AL",120,9,3,"N",120,"1962","08","VISIT","NYA"
1962-08-16,41588,0,"Thu","NYA","AL","MIN","AL",121,8,9,"D",185,"1962","08","HOME","MIN"
1962-08-17,0,1,"Fri","BOS","AL","MIN","AL",122,3,7,"D",160,"1962","08","HOME","MIN"
1962-08-17,34239,2,"Fri","BOS","AL","MIN","AL",123,9,4,"N",166,"1962","08","VISIT","BOS"
1962-08-18,21078,0,"Sat","BOS","AL","MIN","AL",124,12,4,"D",180,"1962","08","VISIT","BOS"
1962-08-19,0,1,"Sun","BOS","AL","MIN","AL",125,2,4,"D",138,"1962","08","HOME","MIN"
1962-08-19,20469,2,"Sun","BOS","AL","MIN","AL",126,4,7,"D",151,"1962","08","HOME","MIN"
1962-08-20,12853,0,"Mon","BOS","AL","MIN","AL",127,4,6,"D",139,"1962","08","HOME","MIN"
1962-08-21,19590,0,"Tue","WS2","AL","MIN","AL",128,2,5,"N",156,"1962","08","HOME","MIN"
1962-08-22,14692,0,"Wed","WS2","AL","MIN","AL",129,8,8,"N",231,"1962","08","VISIT","WS2"
1962-08-23,0,1,"Thu","WS2","AL","MIN","AL",130,6,4,"D",147,"1962","08","VISIT","WS2"
1962-08-23,15506,2,"Thu","WS2","AL","MIN","AL",131,6,0,"N",134,"1962","08","VISIT","WS2"
1962-08-24,21900,0,"Fri","KC1","AL","MIN","AL",132,12,1,"N",176,"1962","08","VISIT","KC1"
1962-08-25,16790,0,"Sat","KC1","AL","MIN","AL",133,1,3,"D",132,"1962","08","HOME","MIN"
1962-08-26,23224,0,"Sun","KC1","AL","MIN","AL",134,0,1,"D",117,"1962","08","HOME","MIN"
1962-09-10,27485,0,"Mon","LAA","AL","MIN","AL",147,5,0,"N",128,"1962","09","VISIT","LAA"
1962-09-11,18461,0,"Tue","LAA","AL","MIN","AL",148,9,0,"D",151,"1962","09","VISIT","LAA"
1962-09-12,20298,0,"Wed","CHA","AL","MIN","AL",149,2,1,"N",196,"1962","09","VISIT","CHA"
1962-09-13,5864,0,"Thu","CHA","AL","MIN","AL",150,1,5,"D",136,"1962","09","HOME","MIN"
1962-09-14,25372,0,"Fri","CLE","AL","MIN","AL",151,1,11,"N",161,"1962","09","HOME","MIN"
1962-09-15,23172,0,"Sat","CLE","AL","MIN","AL",152,2,12,"D",155,"1962","09","HOME","MIN"
1962-09-16,27461,0,"Sun","CLE","AL","MIN","AL",153,3,4,"D",177,"1962","09","HOME","MIN"
1962-09-18,7911,0,"Tue","DET","AL","MIN","AL",154,2,1,"D",164,"1962","09","VISIT","DET"
1962-09-19,6570,0,"Wed","DET","AL","MIN","AL",155,5,12,"D",176,"1962","09","HOME","MIN"
1962-09-20,6645,0,"Thu","DET","AL","MIN","AL",156,5,1,"D",152,"1962","09","VISIT","DET"
1962-09-28,4655,0,"Fri","BAL","AL","MIN","AL",161,5,11,"D",151,"1962","09","HOME","MIN"
1962-09-29,10696,0,"Sat","BAL","AL","MIN","AL",162,4,8,"D",165,"1962","09","HOME","MIN"
1962-09-30,11550,0,"Sun","BAL","AL","MIN","AL",163,0,1,"D",109,"1962","09","HOME","MIN"
1963-04-09,22091,0,"Tue","CLE","AL","MIN","AL",1,5,4,"D",146,"1963","04","VISIT","CLE"
1963-04-10,6996,0,"Wed","CLE","AL","MIN","AL",2,3,5,"D",147,"1963","04","HOME","MIN"
1963-04-16,6273,0,"Tue","LAA","AL","MIN","AL",6,10,11,"D",281,"1963","04","HOME","MIN"
1963-04-17,4850,0,"Wed","LAA","AL","MIN","AL",7,4,0,"D",132,"1963","04","VISIT","LAA"
1963-04-18,5220,0,"Thu","LAA","AL","MIN","AL",8,0,3,"D",121,"1963","04","HOME","MIN"
1963-04-30,5635,0,"Tue","BAL","AL","MIN","AL",19,1,8,"D",149,"1963","04","HOME","MIN"
1963-05-01,5289,0,"Wed","BOS","AL","MIN","AL",20,14,5,"D",200,"1963","05","VISIT","BOS"
1963-05-03,29168,0,"Fri","NYA","AL","MIN","AL",21,4,3,"N",160,"1963","05","VISIT","NYA"
1963-05-04,31667,0,"Sat","NYA","AL","MIN","AL",22,3,2,"D",137,"1963","05","VISIT","NYA"
1963-05-05,37615,0,"Sun","NYA","AL","MIN","AL",23,1,4,"D",124,"1963","05","HOME","MIN"
1963-05-10,11276,0,"Fri","KC1","AL","MIN","AL",27,0,2,"N",119,"1963","05","HOME","MIN"
1963-05-11,11879,0,"Sat","KC1","AL","MIN","AL",28,5,1,"D",138,"1963","05","VISIT","KC1"
1963-05-12,10723,0,"Sun","KC1","AL","MIN","AL",29,2,1,"D",128,"1963","05","VISIT","KC1"
1963-05-24,26765,0,"Fri","CHA","AL","MIN","AL",39,6,8,"N",159,"1963","05","HOME","MIN"
1963-05-25,18194,0,"Sat","CHA","AL","MIN","AL",40,0,6,"D",131,"1963","05","HOME","MIN"
1963-05-26,19553,0,"Sun","CHA","AL","MIN","AL",41,2,5,"D",135,"1963","05","HOME","MIN"
1963-05-28,7532,0,"Tue","WS2","AL","MIN","AL",42,3,6,"N",146,"1963","05","HOME","MIN"
1963-05-29,13898,0,"Wed","WS2","AL","MIN","AL",43,1,10,"N",174,"1963","05","HOME","MIN"
1963-05-30,22081,0,"Thu","WS2","AL","MIN","AL",44,2,3,"D",130,"1963","05","HOME","MIN"
1963-05-31,15483,0,"Fri","DET","AL","MIN","AL",45,3,1,"N",131,"1963","05","VISIT","DET"
1963-06-01,10946,0,"Sat","DET","AL","MIN","AL",46,1,7,"D",146,"1963","06","HOME","MIN"
1963-06-02,21555,0,"Sun","DET","AL","MIN","AL",47,7,6,"D",161,"1963","06","VISIT","DET"
1963-06-12,0,1,"Wed","KC1","AL","MIN","AL",55,12,4,"D",161,"1963","06","VISIT","KC1"
1963-06-12,24501,2,"Wed","KC1","AL","MIN","AL",56,1,8,"N",157,"1963","06","HOME","MIN"
1963-06-13,11195,0,"Thu","KC1","AL","MIN","AL",57,3,6,"N",151,"1963","06","HOME","MIN"
1963-06-14,15697,0,"Fri","LAA","AL","MIN","AL",58,2,3,"N",150,"1963","06","HOME","MIN"
1963-06-15,17592,0,"Sat","LAA","AL","MIN","AL",59,9,6,"D",173,"1963","06","VISIT","LAA"
1963-06-16,0,1,"Sun","LAA","AL","MIN","AL",60,5,3,"D",144,"1963","06","VISIT","LAA"
1963-06-16,36160,2,"Sun","LAA","AL","MIN","AL",61,5,4,"D",199,"1963","06","VISIT","LAA"
1963-06-18,18576,0,"Tue","CHA","AL","MIN","AL",62,3,5,"N",155,"1963","06","HOME","MIN"
1963-06-19,20770,0,"Wed","CHA","AL","MIN","AL",63,12,4,"N",148,"1963","06","VISIT","CHA"
1963-06-20,9173,0,"Thu","CHA","AL","MIN","AL",64,4,9,"D",169,"1963","06","HOME","MIN"
1963-06-21,0,1,"Fri","BAL","AL","MIN","AL",65,2,5,"D",146,"1963","06","HOME","MIN"
1963-06-21,22586,2,"Fri","BAL","AL","MIN","AL",66,10,2,"N",153,"1963","06","VISIT","BAL"
1963-06-22,19244,0,"Sat","BAL","AL","MIN","AL",67,1,3,"D",138,"1963","06","HOME","MIN"
1963-06-23,24679,0,"Sun","BAL","AL","MIN","AL",68,4,1,"D",169,"1963","06","VISIT","BAL"
1963-06-24,9223,0,"Mon","BAL","AL","MIN","AL",69,4,6,"D",156,"1963","06","HOME","MIN"
1963-06-25,20934,0,"Tue","DET","AL","MIN","AL",70,0,1,"N",135,"1963","06","HOME","MIN"
1963-06-26,26290,0,"Wed","DET","AL","MIN","AL",71,1,6,"N",166,"1963","06","HOME","MIN"
1963-06-27,8876,0,"Thu","DET","AL","MIN","AL",72,6,10,"D",165,"1963","06","HOME","MIN"
1963-07-10,18184,0,"Wed","BOS","AL","MIN","AL",84,7,4,"N",188,"1963","07","VISIT","BOS"
1963-07-11,18116,0,"Thu","BOS","AL","MIN","AL",85,2,0,"N",133,"1963","07","VISIT","BOS"
1963-07-12,20144,0,"Fri","BOS","AL","MIN","AL",86,3,2,"N",225,"1963","07","VISIT","BOS"
1963-07-13,19051,0,"Sat","BOS","AL","MIN","AL",87,4,6,"D",169,"1963","07","HOME","MIN"
1963-07-14,0,1,"Sun","CLE","AL","MIN","AL",88,3,5,"D",140,"1963","07","HOME","MIN"
1963-07-14,32260,2,"Sun","CLE","AL","MIN","AL",89,2,8,"D",141,"1963","07","HOME","MIN"
1963-07-15,11160,0,"Mon","CLE","AL","MIN","AL",90,1,13,"D",160,"1963","07","HOME","MIN"
1963-07-17,42034,0,"Wed","NYA","AL","MIN","AL",91,4,0,"N",145,"1963","07","VISIT","NYA"
1963-07-18,39029,0,"Thu","NYA","AL","MIN","AL",92,3,9,"D",166,"1963","07","HOME","MIN"
1963-07-19,17172,0,"Fri","WS2","AL","MIN","AL",93,6,5,"N",266,"1963","07","VISIT","WS2"
1963-07-20,11681,0,"Sat","WS2","AL","MIN","AL",94,3,11,"D",132,"1963","07","HOME","MIN"
1963-07-21,16279,0,"Sun","WS2","AL","MIN","AL",95,2,3,"D",117,"1963","07","HOME","MIN"
1963-08-09,31594,0,"Fri","BOS","AL","MIN","AL",113,3,5,"N",138,"1963","08","HOME","MIN"
1963-08-10,21155,0,"Sat","BOS","AL","MIN","AL",114,3,5,"D",155,"1963","08","HOME","MIN"
1963-08-11,27229,0,"Sun","BOS","AL","MIN","AL",115,2,5,"D",141,"1963","08","HOME","MIN"
1963-08-12,12321,0,"Mon","BOS","AL","MIN","AL",116,5,4,"D",155,"1963","08","VISIT","BOS"
1963-08-13,26513,0,"Tue","BAL","AL","MIN","AL",117,6,1,"N",158,"1963","08","VISIT","BAL"
1963-08-14,25014,0,"Wed","BAL","AL","MIN","AL",118,1,2,"N",177,"1963","08","HOME","MIN"
1963-08-15,22537,0,"Thu","BAL","AL","MIN","AL",119,3,13,"N",187,"1963","08","HOME","MIN"
1963-08-16,13763,0,"Fri","WS2","AL","MIN","AL",120,5,7,"N",172,"1963","08","HOME","MIN"
1963-08-17,16589,0,"Sat","WS2","AL","MIN","AL",121,10,0,"D",138,"1963","08","VISIT","WS2"
1963-08-18,18557,0,"Sun","WS2","AL","MIN","AL",122,7,3,"D",157,"1963","08","VISIT","WS2"
1963-08-30,29745,0,"Fri","CHA","AL","MIN","AL",133,3,5,"N",170,"1963","08","HOME","MIN"
1963-08-31,23415,0,"Sat","CHA","AL","MIN","AL",134,2,0,"D",135,"1963","08","VISIT","CHA"
1963-09-01,26870,0,"Sun","CHA","AL","MIN","AL",135,8,3,"D",143,"1963","09","VISIT","CHA"
1963-09-02,0,1,"Mon","KC1","AL","MIN","AL",136,2,6,"D",149,"1963","09","HOME","MIN"
1963-09-02,12348,2,"Mon","KC1","AL","MIN","AL",137,1,3,"N",122,"1963","09","HOME","MIN"
1963-09-03,4460,0,"Tue","KC1","AL","MIN","AL",138,3,2,"D",150,"1963","09","VISIT","KC1"
1963-09-04,7397,0,"Wed","LAA","AL","MIN","AL",139,2,4,"N",163,"1963","09","HOME","MIN"
1963-09-05,8714,0,"Thu","LAA","AL","MIN","AL",140,8,5,"N",153,"1963","09","VISIT","LAA"
1963-09-09,8838,0,"Mon","CLE","AL","MIN","AL",145,4,7,"N",153,"1963","09","HOME","MIN"
1963-09-10,10584,0,"Tue","CLE","AL","MIN","AL",146,4,5,"N",149,"1963","09","HOME","MIN"
1963-09-11,8749,0,"Wed","CLE","AL","MIN","AL",147,3,9,"N",165,"1963","09","HOME","MIN"
1963-09-12,6100,0,"Thu","CLE","AL","MIN","AL",148,2,3,"D",152,"1963","09","HOME","MIN"
1963-09-13,32445,0,"Fri","NYA","AL","MIN","AL",149,2,0,"N",139,"1963","09","VISIT","NYA"
1963-09-14,34836,1,"Sat","NYA","AL","MIN","AL",150,2,6,"D",135,"1963","09","HOME","MIN"
1963-09-14,37044,2,"Sat","NYA","AL","MIN","AL",151,3,1,"N",124,"1963","09","VISIT","NYA"
